Date,BTC-USD_ret
2020-01-01,0.0
2020-01-02,-0.029819292162590716
2020-01-03,0.05145166344511276
2020-01-04,0.008954866877941559
2020-01-05,8.914790612779555e-05
2020-01-06,0.04829126010697582
2020-01-07,0.050773846435889336
2020-01-08,-0.010268587535248286
2020-01-09,-0.024850855645838776
2020-01-10,0.03648690303834745
2020-01-11,-0.015798168776598898
2020-01-12,0.019279106453440997
2020-01-13,-0.005895616628883604
2020-01-14,0.08393344808628167
2020-01-15,-0.002350980919464507
2020-01-16,-0.009449813541879348
2020-01-17,0.02352785247141642
2020-01-18,0.0015422162701026476
2020-01-19,-0.026452928527155417
2020-01-20,-0.005582491465413786
2020-01-21,0.010193531591149663
2020-01-22,-0.007434180055016837
2020-01-23,-0.03160514587505292
2020-01-24,0.004629616722148233
2020-01-25,-0.00918684685986848
2020-01-26,0.027364554337216074
2020-01-27,0.036407519395889265
2020-01-28,0.05036808165148732
2020-01-29,-0.004483577295090302
2020-01-30,0.02064730312029206
2020-01-31,-0.016664631518128026
2020-02-01,0.00452869583961979
2020-02-02,-0.0051645279666768795
2020-02-03,-0.005441113304621492
2020-02-04,-0.012111511652417528
2020-02-05,0.047104093835473426
2020-02-06,0.012105773319493585
2020-02-07,0.006797836503646293
2020-02-08,0.007061676319697785
2020-02-09,0.02549940694219166
2020-02-10,-0.025706324471686526
2020-02-11,0.03567402510806805
2020-02-12,0.011541499979814906
2020-02-13,-0.010814856987217514
2020-02-14,0.009568503349817403
2020-02-15,-0.0409897830477971
2020-02-16,0.004551203932625647
2020-02-17,-0.024590331529186438
2020-02-18,0.0466302236506857
2020-02-19,-0.05014884351152826
2020-02-20,-0.0025859164113087862
2020-02-21,0.008114275736580634
2020-02-22,-0.002401270461409255
2020-02-23,0.02704430011708836
2020-02-24,-0.027642741538078885
2020-02-25,-0.031965195740564556
2020-02-26,-0.05579095174048332
2020-02-27,-0.0040846016176541156
2020-02-28,-0.012754184897438958
2020-02-29,-0.008411261679117432
2020-03-01,-0.0043089307085921735
2020-03-02,0.03587941221856461
2020-03-03,-0.009231886844013548
2020-03-04,-0.0037028710724991143
2020-03-05,0.03695117168590434
2020-03-06,0.004822595830994203
2020-03-07,-0.02330399860322019
2020-03-08,-0.08999349283790192
2020-03-09,-0.022751484424786028
2020-03-10,-0.0017561412564156553
2020-03-11,0.00021501160000858555
2020-03-12,-0.37169538560117077
2020-03-13,0.11928067241286833
2020-03-14,-0.06530552710121185
2020-03-15,0.036910617960911996
2020-03-16,-0.07006915676163483
2020-03-17,0.04210793838741411
2020-03-18,0.0024512036855608432
2020-03-19,0.18187755736638023
2020-03-20,0.001225199953657663
2020-03-21,-0.00221203491300348
2020-03-22,-0.05736583896317804
2020-03-23,0.10052048673231173
2020-03-24,0.04963733427047878
2020-03-25,-0.007979552925792555
2020-03-26,0.005295181540467819
2020-03-27,-0.03672214358569481
2020-03-28,-0.035179534234601295
2020-03-29,-0.051288198783903005
2020-03-30,0.08574723804008189
2020-03-31,0.0013690436954885143
2020-04-01,0.026112924097839496
2020-04-02,0.028281287899985408
2020-04-03,-0.008866740365705117
2020-04-04,0.01992164308903499
2020-04-05,-0.011124520572645125
2020-04-06,0.0707764242948763
2020-04-07,-0.013114627068677276
2020-04-08,0.02197254365887824
2020-04-09,-0.004364445986660415
2020-04-10,-0.05979058460566089
2020-04-11,-0.0009336774645052337
2020-04-12,0.016329994685138294
2020-04-13,-0.018082418492216368
2020-04-14,-0.0003812781513637953
2020-04-15,-0.029275847531044064
2020-04-16,0.07146740203164859
2020-04-17,-0.002897315751431484
2020-04-18,0.02275595669052466
2020-04-19,-0.009402505352301915
2020-04-20,-0.04276646838190479
2020-04-21,-0.00023761461322069355
2020-04-22,0.034429236680519004
2020-04-23,0.043910071328696176
2020-04-24,0.016309658285092787
2020-04-25,0.002520911948821203
2020-04-26,0.014522071498782596
2020-04-27,0.015069777105927384
2020-04-28,0.001469741643032707
2020-04-29,0.1273180520232342
2020-04-30,-0.01618949646720247
2020-05-01,0.023816089558295506
2020-05-02,0.013968791699848548
2020-05-03,-0.010138170944239966
2020-05-04,0.0017067266322232655
2020-05-05,0.010144678859214995
2020-05-06,0.029511199738283755
2020-05-07,0.07366214135771076
2020-05-08,-0.010938284289408906
2020-05-09,-0.025274608612654736
2020-05-10,-0.0872915214038874
2020-05-11,-0.017659566044374797
2020-05-12,0.023562712138033515
2020-05-13,0.05287193516704303
2020-05-14,0.05002535168149658
2020-05-15,-0.04166180495059313
2020-05-16,0.005233209039209763
2020-05-17,0.03132400103227817
2020-05-18,0.005773698991511145
2020-05-19,0.00025321252090737545
2020-05-20,-0.02117954918100662
2020-05-21,-0.04633209978369557
2020-05-22,0.01110086707949609
2020-05-23,0.0029087652089092586
2020-05-24,-0.045488748514099786
2020-05-25,0.013260696716498988
2020-05-26,-0.008070322664891605
2020-05-27,0.039158209254817056
2020-05-28,0.037548495632866885
2020-05-29,-0.009093976247976698
2020-05-30,0.02768159825145977
2020-05-31,-0.024674768232348376
2020-06-01,0.07464386293982206
2020-06-02,-0.06269774820259899
2020-06-03,0.013317594606312655
2020-06-04,0.014903505382374727
2020-06-05,-0.013785177382049874
2020-06-06,-0.0012263695520872142
2020-06-07,0.010894586827723485
2020-06-08,0.0012948980117710729
2020-06-09,0.0024777121338637187
2020-06-10,0.007594610876882513
2020-06-11,-0.05555301055894357
2020-06-12,0.01706353064227928
2020-06-13,-0.0005871213994007585
2020-06-14,-0.009338962291258746
2020-06-15,0.006808938469139436
2020-06-16,0.009239764861221245
