Date,BTC-USD_ret,ETH-USD_ret,SPY_ret,btc_roll_vol
2020-01-01,0.0,0.0,0.0,0.0
2020-01-02,-0.029819292162590716,-0.025930970201487602,0.0,0.0
2020-01-03,0.05145166344511276,0.053068978168561154,-0.007572090421904543,0.0
2020-01-04,0.008954866877941559,0.0066903769863495555,0.0,0.0
2020-01-05,8.914790612779555e-05,0.008939204731726713,0.0,0.0
2020-01-06,0.04829126010697582,0.05890493095145177,0.0038149322226956883,0.0
2020-01-07,0.050773846435889336,-0.005267778753292318,-0.002811799833011386,0.0
2020-01-08,-0.010268587535248286,-0.015924443349786155,0.005329663138868179,0.0
2020-01-09,-0.024850855645838776,-0.016133093484380745,0.006780452344686827,0.0
2020-01-10,0.03648690303834745,0.03586560638444225,-0.002877580831578963,0.0
2020-01-11,-0.015798168776598898,-0.007200886928300676,0.0,0.03249088451980359
2020-01-12,0.019279106453440997,0.0206176641057616,0.0,0.029078498573006973
2020-01-13,-0.005895616628883604,-0.01129289411687917,0.006877373938258602,0.026986270520004744
2020-01-14,0.08393344808628167,0.15065709666300386,-0.0015247176072938906,0.03551418271603714
2020-01-15,-0.002350980919464507,0.0016590582058744197,0.0022598941096731995,0.035660558282493725
2020-01-16,-0.009449813541879348,-0.01106700566380281,0.00831855327044928,0.034869585965187695
2020-01-17,0.02352785247141642,0.038864331269726105,0.0031125737241983753,0.032503623074129864
2020-01-18,0.0015422162701026476,0.02685165206055795,0.0,0.03191631915368138
2020-01-19,-0.026452928527155417,-0.047876120324395366,0.0,0.032117662884424275
2020-01-20,-0.005582491465413786,0.0009023502412968121,0.0,0.031071145795874854
2020-01-21,0.010193531591149663,0.01541788519604359,-0.001958077828767224,0.03009116617024491
2020-01-22,-0.007434180055016837,-0.008267668638293424,0.0001204713738167662,0.030250175688534418
2020-01-23,-0.03160514587505292,-0.03188227458323378,0.001146945747111161,0.03240823776802119
2020-01-24,0.004629616722148233,0.0007525975197246737,-0.008893085479145024,0.016249552825009388
2020-01-25,-0.00918684685986848,-0.01083857506306074,0.0,0.01630223420518165
2020-01-26,0.027364554337216074,0.04211930401638453,0.0,0.01909816942931631
2020-01-27,0.036407519395889265,0.016979054481661038,-0.01602964788989847,0.02126947918248002
2020-01-28,0.05036808165148732,0.03182234945202822,0.010479376886823655,0.02660179149626596
2020-01-29,-0.004483577295090302,-0.007484121137455557,-0.0008258284186554166,0.02455603251771397
