Date,BTC-USD,ETH-USD,SPY
2022-03-01,44354.63671875,2972.485107421875,407.92828369140625
2022-03-02,43924.1171875,2950.118408203125,415.4325866699219
2022-03-03,42451.7890625,2834.468994140625,413.3644104003906
2022-03-04,39137.60546875,2617.156005859375,410.0059509277344
2022-03-05,39400.5859375,2664.8310546875,
2022-03-06,38419.984375,2555.037353515625,
2022-03-07,38062.0390625,2497.771240234375,397.9193115234375
2022-03-08,38737.26953125,2576.74755859375,394.90234375
2022-03-09,41982.92578125,2729.783447265625,405.4900817871094
2022-03-10,39437.4609375,2608.048583984375,403.6590270996094
2022-03-11,38794.97265625,2559.56298828125,398.5265197753906
2022-03-12,38904.01171875,2574.754150390625,
2022-03-13,37849.6640625,2518.944580078125,
2022-03-14,39666.75390625,2590.696044921875,395.61395263671875
2022-03-15,39338.78515625,2620.149658203125,404.31365966796875
2022-03-16,41143.9296875,2772.0556640625,413.279052734375
2022-03-17,40951.37890625,2814.8544921875,418.4495544433594
2022-03-18,41801.15625,2945.343017578125,423.03265380859375
2022-03-19,42190.65234375,2946.257080078125,
2022-03-20,41247.82421875,2860.459228515625,
2022-03-21,41077.99609375,2897.9765625,422.9089660644531
2022-03-22,42358.80859375,2973.131103515625,427.8575439453125
2022-03-23,42892.95703125,3031.067138671875,422.3475341796875
2022-03-24,43960.93359375,3108.06201171875,428.7141418457031
2022-03-25,44348.73046875,3106.67138671875,430.8077697753906
2022-03-26,44500.828125,3143.178955078125,
2022-03-27,46820.4921875,3291.57763671875,
2022-03-28,47128.00390625,3336.634521484375,433.8721618652344
2022-03-29,47465.73046875,3401.98779296875,439.2395324707031
2022-03-30,47062.6640625,3385.157958984375,436.52728271484375
2022-03-31,45538.67578125,3281.642822265625,429.8085632324219
2022-04-01,46281.64453125,3449.55224609375,431.02667236328125
2022-04-02,45868.94921875,3445.059326171875,
2022-04-03,46453.56640625,3522.83349609375,
2022-04-04,46622.67578125,3521.2412109375,434.7191162109375
2022-04-05,45555.9921875,3411.79248046875,429.22796630859375
